Unité;Leçon;FRANZÖSISCH;PHONETIK;DEUTSCH
3;10;avantage (un);[ɛ̃navɑ̃taʒ];Vorteil (ein)
3;10;capitale (une);[yn(ə) kapital];Hauptstadt (eine)
3;10;cher/chère (adj.);[ʃɛr / ʃɛr];teuer / lieb (adj.)
3;10;chiffre (un);[ɛ̃ ʃifr];Zahl (eine)
3;10;circulation (la);[la sirkylasjɔ̃];Verkehr (der)
3;10;comparer (v.);[kɔ̃pare];vergleichen
3;10;conséquence (une);[yn(ə) kɔ̃sekɑ̃s];Folge (eine)
3;10;détester (v.);[detɛste];hassen
3;10;espace (un);[ɛ̃nɛspas];Raum (ein)
3;10;exode (un);[ɛ̃nɛgzɔd];Stadtflucht (eine)
3;10;expo (exposition) (une);[ynɛkspo / ynɛkspɔzisjɔ̃];Ausstellung (eine)
3;10;familier/ière (adj.);[familje / familjɛr];bekannt (adj.)
3;10;habitant/e (un/une);[ɛ̃nabitɑ̃ / ynabitɑ̃t];Einwohner/in (ein/eine)
3;10;immobilier (l’);[limɔbilje];Immobiliengeschäft (das)
3;10;jusqu’à;[ʒyska];bis
3;10;limiter (v.);[limite];beschränken
3;10;moins;[mwɛ̃];weniger
3;10;moyen (un);[ɛ̃ mwajɛ̃];Mittel (ein)
3;10;natalité (la);[la natalite];Geburtenrate (die)
3;10;parc (un);[ɛ̃ park];Park (ein)
3;10;partir (v.);[partir];(weg)gehen / abfahren
3;10;perdre (v.);[pɛrdr];verlieren
3;10;périphérique (le);[lə periferik];Ringstraße (die)
3;10;piéton (un);[ɛ̃ pjetɔ̃];Fußgänger (ein)
3;10;population (la);[la pɔpylasjɔ̃];Bevölkerung (die)
3;10;prestigieux/ieuse (adj.);[prɛstiʒjø / prɛstiʒjøz];renommiert (adj.)
3;10;proche (adj.);[prɔʃ];nahegelegen (adj.)
3;10;province (la);[la prɔvɛ̃s];Provinz (die)
3;10;raison (une);[yn(ə) rɛzɔ̃];Grund (ein)
3;10;regretter (v.);[rəgrɛte];bedauern
3;10;routine (une);[yn(ə) rutin];Alltagstrott (ein)
3;10;sommeil (le);[lə sɔmɛj];Schlaf (der)
3;10;superficie (une);[yn(ə) sypɛrfisi];Fläche (eine)
3;10;surface (une);[yn(ə) syrfas];Oberfläche (eine)
3;10;trajet (un);[ɛ̃ traʒɛ];Strecke (eine)
3;10;transport (le);[lə trɑ̃spɔr];Verkehrswesen (das)
3;10;vélo (un);[ɛ̃ velo];Fahrrad (ein)
3;11;à pied;[a pje];zu Fuß
3;11;actuellement;[aktɥɛl(ə)mɑ̃];derzeit
3;11;africain/e;[afrikɛ̃ / afrikɛn];afrikanisch (adj.)
3;11;agence de voyages (une);[ynaʒɑ̃s də vwajaʒ];Reisebüro (ein)
3;11;amusant/e (adj.);[amyzɑ̃ / amyzɑ̃t];lustig (adj.)
3;11;anecdote (une);[ynanɛgdɔt];Anekdote (eine)
3;11;association (une);[ynasɔsjasjɔ̃];Verein (ein)
3;11;attendre (v.);[atɑ̃dr];warten
3;11;chaque;[ʃak];jede/r
3;11;chef/cheffe (un/une);[ɛ̃ ʃɛf / yn(ə) ʃɛf];Küchenchef/in / Leiter/in (ein/eine)
3;11;climat (le);[lə klima];Klima (das)
3;11;colocataire (un/une);[ɛ̃ kɔlɔkatɛr / yn(ə) kɔlɔkatɛr];Mitbewohner/in (ein/ eine)
3;11;coloré/e (adj.);[kɔlɔre / kɔlɔre];bunt (adj.)
3;11;conseiller (v.);[kɔ̃seje];einen Rat geben
3;11;content/e (adj.);[kɔ̃tɑ̃ / kɔ̃tɑ̃t];zufrieden (adj.)
3;11;continent (un);[ɛ̃ kɔ̃tinɑ̃];Kontinent (ein)
3;11;courses (les);[le kurs];Einkäufe (die)
3;11;doux/douce (adj.);[du / dus];süß / sanft / freundlich (adj.)
3;11;échange (un);[ɛ̃neʃɑ̃ʒ];Austausch (ein)
3;11;étranger (à l’);[a letrɑ̃ʒe];Ausland (im)
3;11;expérience (une);[ynɛksperjɑ̃s];Erfahrung (eine)
3;11;faim (la);[la fɛ̃];Hunger (der)
3;11;fort/e (adj.);[fɔr / fɔrt];stark (adj.)
3;11;froid (le);[lə frwa];Kälte (die)
3;11;habitat (un);[ɛ̃nabita];Lebensraum (ein)
3;11;haricot (un);[ɛ̃ ariko];Bohne (eine)
3;11;immense (adj.);[imɑ̃s];riesig (adj.)
3;11;instant (un);[ɛ̃nɛ̃stɑ̃];Moment (ein)
3;11;journée (une);[yn(ə) ʒurne];Tag (ein)
3;11;nature (la);[la natyr];Natur (die)
3;11;pimenté/e (adj);[pimɑ̃te / pimɑ̃te];scharf gewürzt (adj.)
3;11;près de;[prɛ də];in der Nähe von
3;11;quartier (un);[ɛ̃ kartje];Stadtviertel (ein)
3;11;route (une);[yn(ə) rut];Straße (eine)
3;11;sec/sèche (adj.);[sɛk / sɛʃ];trocken (adj.)
3;11;solidarité (la);[la sɔlidarite];Solidarität (die)
3;11;tâche ménagère (une);[yn(ə) taʃ menaʒɛr];Hausarbeit (eine)
3;11;tropical/e (adj.);[trɔpikal / trɔpikal];tropisch (adj.)
3;11;truc (un);[ɛ̃ tryk];etwas
3;11;université (une);[ynynivɛrsite];Universität (eine)
3;11;végétarien/ne (adj.);[veʒetarjɛ̃ / veʒetarjɛn];vegetarisch (adj.)
3;11;vers;[vɛr];zu
3;11;volontaire (un/une);[ɛ̃ vɔlɔ̃tɛr / yn(ə) vɔlɔ̃tɛr];Freiwillige/r (ein/eine)
3;11;volontariat (le);[lə vɔlɔ̃tarja];Freiwilligenarbeit (die)
3;12;assez;[ase];genug / ziemlich
3;12;autour de;[otur də];rund um
3;12;billet (un);[ɛ̃ bijɛ];Eintrittskarte / Fahrkarte (eine)
3;12;chanteur/euse (un/ une);[ɛ̃ ʃɑ̃toer / yn(ə) ʃɑ̃tøz];Sänger/in (ein/eine)
3;12;chemin (un);[ɛ̃ ʃ(ə)mɛ̃];Weg (ein)
3;12;confiance (la);[la kɔ̃fjɑ̃s];Vertrauen (das)
3;12;côté (un);[ɛ̃ kɔte];Seite (eine)
3;12;embrasser (v.);[ɑ̃brase];küssen / umarmen
3;12;festival (un);[ɛ̃ fɛstival];Festival (ein)
3;12;génération (une);[yn(ə) ʒenerasjɔ̃];Generation (eine)
3;12;hémisphère (un);[ɛ̃nemisfɛr];Halbkugel (eine)
3;12;lande (la);[la lɑ̃d];Heide (die)
3;12;obliger (v.);[ɔbliʒe];zwingen
3;12;port (un);[ɛ̃ pɔr];Hafen (ein)
3;12;prêter (v.);[prete];ausleihen
3;12;programme (un);[ɛ̃ prɔgram];Programm (ein)
3;12;promenade (une);[yn(ə) prɔm(ə)nad];Spaziergang (ein)
3;12;rater (v.);[rate];verpassen
3;12;remerciement (un);[ɛ̃ rəmɛrsimɑ̃];Dank (ein)
3;12;reprendre (v.);[rəprɑ̃dr];wieder aufnehmen / zurückkehren
3;12;retour (un);[ɛ̃ rətur];Rückkehr / Rückfahrt (eine)
3;12;scène (une);[yn(ə) sɛn];Szene (eine)
3;12;se produire (v.);[s(ə) prɔdɥir];auftreten
3;12;style (un);[ɛ̃ stil];Stil (ein)
3;12;tour (un);[ɛ̃ tur];Hier: Ausflug (der)
3;12;vite;[vit];schnell
4;13;action (une);[ynaksjɔ̃];Handlung (eine)
4;13;aide (une);[ynɛd];Hilfe (eine)
4;13;appel (un);[ɛ̃napɛl];Anruf (ein) / Anrede (eine)
4;13;armoire (une);[ynarmwar];Schrank (ein)
4;13;arroser (v.);[arɔze];gießen
4;13;aspirateur (un);[ɛ̃naspiratoer];Staubsauger (ein)
4;13;assistance (l’);[lasistɑ̃s];Unterstützung (die)
4;13;avenir (l’);[lavənir];Zukunft (die)
4;13;besoin (un);[ɛ̃ bəzwɛ̃];Bedürfnis (ein)
4;13;bricolage (le);[lə brikɔlaʒ];Heimwerken (das)
4;13;cave (une);[yn(ə) kav];Keller (ein)
4;13;chambre (une);[yn(ə) ʃɑ̃br];Zimmer (ein)
4;13;chez;[ʃe];bei
4;13;concierge (un/une);[ɛ̃ kɔ̃sjɛrʒ / yn(ə) kɔ̃sjɛrʒ];Hausmeister/in (ein/ eine)
4;13;coup de main (un);[ɛ̃ ku d(ə) mɛ̃];Unterstützung (eine)
4;13;dangereux/euse (adj.);[dɑ̃ʒ(ə)rø / dɑ̃ʒ(ə)røz];gefährlich (adj.)
4;13;disponible (adj.);[dispɔnibl];verfügbar (adj.)
4;13;électricien/ienne (un/ une);[ɛ̃nelɛktrisjɛ̃ / ynelɛktrisjɛn];Elektriker/in (ein/eine)
4;13;envisager (v.);[ɑ̃vizaʒe];beabsichtigen
4;13;expliquer (v.);[ɛksplike];erklären
4;13;extérieur/e (adj.);[ɛksterjoer / ɛksterjoer];außen (adj.)
4;13;fer à repasser (un);[ɛ̃ fɛrar(ə)pase];Bügeleisen (ein)
4;13;fonctionner (v.);[fɔ̃ksjɔne];funktionieren
4;13;garde (la);[la gard];Obhut (die)
4;13;gardien/ne (un/une);[ɛ̃ gardjɛ̃ / yn(ə) gardjɛn];Hausmeister/in (ein/ eine)
4;13;gentil/le (adj.);[ʒɑ̃ti / ʒɑ̃tij];nett (adj.)
4;13;gros bras (un);[ɛ̃ gro bra];Muskelpaket (ein)
4;13;inscription (une);[ynɛ̃skripsjɔ̃];Anmeldung (eine)
4;13;intérieur;[ɛ̃terjoer];innen
4;13;laver (v.);[lave];waschen
4;13;lessive (de la);[d(ə) la lesiv];Waschmittel / Wäsche
4;13;livraison (une);[yn(ə) livrɛzɔ̃];Lieferung (eine)
4;13;lourd/e (adj.);[lur / lurd];schwer (adj.)
4;13;ménage (le);[lə menaʒ];Haushalt (der)
4;13;métier (un);[ɛ̃ metje];Beruf (ein)
4;13;nourrir (v.);[nurir];füttern
4;13;ordinateur (un);[ɛ̃nɔrdinatoer];Computer (ein)
4;13;par terre;[par tɛr];auf dem Boden
4;13;partout;[partu];überall
4;13;patience (la);[la pasjɑ̃s];Geduld (die)
4;13;place (une);[yn(ə) plas];Platz (ein)
4;13;planche à repasser (une);[yn(ə) plɑ̃ʃa r(ə) pase];Bügelbrett (ein)
4;13;plante (une);[yn(ə) plɑ̃t];Pflanze (eine)
4;13;plombier/ière (un/une);[ɛ̃plɔ̃bje / yn(ə) plɔ̃bjɛr];Klempner/in (ein/eine)
4;13;poli/e (adj.);[pɔli / pɔli];höflich (adj.)
4;13;politesse (la);[la pɔlitɛs];Höflichkeit (die)
4;13;prendre en compte (v.);[prɑ̃drɑ̃ kɔ̃t];berücksichtigen
4;13;rendre service (v.);[rɑ̃dr(ə) sɛrvis];behilflich sein
4;13;réparer (v.);[repare];reparieren
4;13;repassage (le);[le r(ə)pasaʒ];Bügeln (das)
4;13;rêve (un);[ɛ̃ rɛv];Traum (ein)
4;13;s’inquiéter (v.);[sɛ̃kjete];sich Sorgen machen
4;13;se baisser (v.);[s(ə) bɛse];sich bücken (v.)
4;13;souhait (un);[ɛ̃ swɛ];Wunsch (ein)
4;13;supplémentaire (adj.);[syplemɑ̃tɛr];zusätzlich (adj.)
4;13;tableau (un);[ɛ̃ tablo];Bild (ein)
4;13;talent (un);[ɛ̃ talɑ̃];Begabung (eine)
4;13;travaux (des);[de travo];Arbeiten (pl.)
4;13;vaisselle (la);[la vɛsɛl];Geschirr (das)
4;14;accélérer (v.);[akselere];vorantreiben
4;14;accompagner (v.);[akɔ̃paɲe];begleiten
4;14;accomplir (v.);[akɔ̃plir];erledigen
4;14;affaires (les);[lezafɛr];"Sachen (die) / Geschäft (das) /
Angelegenheiten (die)"
4;14;aspect (un);[ɛ̃naspɛ];Aspekt (ein)
4;14;atelier (un);[ɛ̃natəlje];Workshop / Lehrgang (ein)
4;14;comptable (un/une);[ɛ̃ kɔ̃tabl / yn(ə) kɔ̃tabl];Buchhalter/in (ein/ eine)
4;14;concrétiser (v.);[kɔ̃kretize];verwirklichen
4;14;conférence (une);[yn(ə) kɔ̃ferɑ̃s];Vortrag (ein) / Konferenz (eine)
4;14;créateur/trice (un/une);[ɛ̃ kreatoer / yn(ə) kreatris];Firmengründer/in (ein/ eine)
4;14;débat (un);[ɛ̃ deba];Debatte (eine)
4;14;dirigeant/e (un/une);[ɛ̃ diriʒɑ̃ / yn(ə) diriʒɑ̃t];Leiter/in (ein/eine)
4;14;domaine (un);[ɛ̃ dɔmɛn];Bereich (ein)
4;14;égoïste (adj.);[egɔist];egoistisch (adj.)
4;14;emploi (un);[ɛ̃nɑ̃plwa];Stelle (eine)
4;14;en retard;[ɑ̃ r(ə)tar];zu spät
4;14;entreprendre (v.);[ɑ̃trəprɑ̃dr];unternehmen
4;14;entrepreneur/euse (un/une);[ɛ̃nɑ̃trəprənoer / ynɑ̃trəprənøz];Unternehmer/in (ein/ eine)
4;14;étape (une);[ynetap];Etappe (eine)
4;14;étude de marché (une);[ynetyd də marʃe];Marktstudie (eine)
4;14;exposant/e (un/une);[ɛ̃nɛkspɔzɑ̃ / ynɛkspɔzɑ̃t];Aussteller/in (ein/eine)
4;14;financement (un);[ɛ̃ finɑ̃s(ə)mɑ̃];Finanzierung (eine)
4;14;fiscal/e (adj.);[fiskal / fiskal];Steuer-
4;14;formalité (une);[yn(ə) fɔrmalite];Formalität (eine)
4;14;grave (adj.);[grav];schwer / dunkel (adj.)
4;14;indispensable (adj.);[ɛ̃dispɑ̃sabl];unerlässlich (adj.)
4;14;juridique (adj.);[ʒyridik];rechtlich (adj.)
4;14;lancer (v.);[lɑ̃se];gründen / einführen
4;14;matériel (un);[ɛ̃ materjɛl];Material (ein) / Ausstattung (eine)
4;14;micro-entrepreneur/ euse (un/une);[ɛ̃ mikroɑ̃trəprənoer / yn(ə) mikroɑ̃trəprənøz];Kleinstunternehmer/in (ein/eine)
4;14;nécessaire (adj.);[nesesɛr];notwendig (adj.)
4;14;ordre (un);[ɛ̃nɔrdr];Reihenfolge / Ordnung (eine)
4;14;original/e (adj.);[ɔriʒinal / ɔriʒinal];originell (adj.)
4;14;procéder (v.);[prɔsede];vorgehen
4;14;produit (un);[ɛ̃ prɔdɥi];Produkt (ein)
4;14;rassemblement (un);[ɛ̃ rasɑ̃bləmɑ̃];Treffen (ein)
4;14;retrouver (v.);[rətruve];finden / wieder begegnen
4;14;rôle (un);[ɛ̃ rol];Rolle (eine)
4;14;sélection (une);[yn(ə) selɛksjɔ̃];Auswahl (eine)
4;14;source d’information (une);[yn(ə) surs(ə) dɛ̃fɔrmasjɔ̃];Informationsquelle (eine)
4;14;stressé/e (adj.);[strese / strese];gestresst (adj.)
4;14;support (un);[ɛ̃ sypɔr];Träger (ein)
4;14;sûr de lui / sûre d’elle (adj.);[syr də lɥi / syr dɛl];selbstsicher (Adj.)
4;14;triste (adj.);[trist];traurig (adj.)
4;15;ambiance (une);[ynɑ̃bjɑ̃s];Stimmung (eine)
4;15;bureau (un);[ɛ̃ byro];Büro / Schreibtisch (ein)
4;15;caisson (un);[ɛ̃ kɛsɔ̃];Schubladenelement (ein)
4;15;casier (un);[ɛ̃ kazje];Regal (ein)
4;15;chaleureux/euse (adj.);[ʃaloerø / ʃaloerøz];herzlich / gemütlich (adj.)
4;15;collaborateur/trice (un/une);[ɛ̃ kɔlabɔratoer / yn(ə) kɔlabɔratris];Mitarbeiter/in (ein/ eine)
4;15;courant (un) / être au courant;[ɛ̃ kurɑ̃];Strom (ein) / auf dem Laufenden sein
4;15;dédié/e (adj.);[dedje / dedje];eigen (adj.)
4;15;destiné/e à (v.);[dɛstine a / dɛstine a];bestimmt für
4;15;détente (la);[la detɑ̃t];Entspannung (die)
4;15;en ligne;[ɑ̃ liɲ];online
4;15;équipement (un);[ɛ̃nekip(ə)mɑ̃];Ausstattung (eine)
4;15;espérer (v.);[ɛspere];hoffen
4;15;espoir (l');[lɛspwar];Hoffnung (die)
4;15;fauteuil (un);[ɛ̃ fotoej];Sessel (ein)
4;15;fibre optique (la);[la fibrɔptik];Glasfaserkabel (das)
4;15;forfait (un);[ɛ̃ fɔrfɛ];Pauschale (eine)
4;15;formule (une);[yn(ə) fɔrmyl];Angebot (ein)
4;15;impression (une);[ynɛ̃presjɔ̃];Eindruck (ein)
4;15;imprimante (une);[ynɛ̃primɑ̃t];Drucker (ein)
4;15;local/e (adj.);[lɔkal / lɔkal];lokal (adj.)
4;15;mobilier (le);[lə mɔbilje];Möbel (pl.)
4;15;mutualisé/e (adj.);[mytɥalize / mytɥalize];gemeinsam genutzt (adj.)
4;15;neuf/neuve (adj.);[noef / noev];neu (adj.)
4;15;option (une);[ynɔpsjɔ̃];Option (eine)
4;15;parfait/e (adj.);[parfɛ / parfɛt];perfekt (adj.)
4;15;particulier/ière (adj.);[partikylje / partikyljɛr];besondere/r/s (adj.)
4;15;privatif/ive (adj.);[privatif / privativ];privat (adj.)
4;15;refait/e à neuf (adj.);[rəfɛ / rəfɛt a noef];erneuert (Adj.)
4;15;remise (une);[yn(ə) rəmiz];Rabatt (ein)
4;15;secteur d’activité (un);[ɛ̃ sɛktoer daktivite];Betätigungsfeld (ein)
4;15;station (une);[yn(ə) stasjɔ̃];"Haltestelle (eine) / Sender (ein) /
Bergstation (eine)"
4;15;studieux/euse (adj.);[stydjø / stydjøz];fleißig (adj.)
4;15;tarif (un);[ɛ̃ tarif];Tarif (ein)
4;15;visioconférence (une);[yn(ə) visjokɔ̃ferɑ̃s];Videokonferenz (eine)
4;16;actuel/elle (adj.);[aktɥɛl / aktɥɛl];aktuell (adj.)
4;16;assistant/e (un/une);[ɛ̃nasistɑ̃ / ynasistɑ̃t];Assistent/in (ein/eine)
4;16;baccalauréat (le);[lə bakalorea];Abitur (das)
4;16;budget (un);[ɛ̃ bydʒɛ];Budget (das)
4;16;chaussure (une);[yn(ə) ʃosyr];Schuh (ein)
4;16;choix (un);[ɛ̃ ʃwa];Auswahl (eine)
4;16;communiqué de presse (un);[ɛ̃ kɔmynike də prɛs];Pressemeldung (eine)
4;16;conseil (le);[lə kɔ̃sɛj];Rat (der)
4;16;correspondre (v.);[kɔrɛspɔ̃dr];entsprechen
4;16;costume (un);[ɛ̃ kɔstym];Anzug (ein)
4;16;cravate (une);[yn(ə) kravat];Krawatte (eine)
4;16;créatif/ive (adj.);[kreatif / kreativ];kreativ (adj.)
4;16;décontracté/e (adj.);[dekɔ̃trakte / dekɔ̃trakte];lässig (adj.)
4;16;diffusion (la);[la difyzjɔ̃];Verbreitung (die)
4;16;diplôme (un);[ɛ̃ diplom];Abschluss (ein)
4;16;équipe (une);[ynekip];Team (ein)
4;16;expérience professionnelle (une);[ynɛksperjɑ̃s prɔfɛsjɔnɛl];Berufserfahrung (eine)
4;16;finance (la);[la finɑ̃s];Finanzwesen (das)
4;16;fonction (une);[yn fɔ̃ksjɔ̃];Tätigkeit / Aufgabe (eine)
4;16;hôtellerie (l’);[lotɛl(ə)ri];Hotelgewerbe (das)
4;16;improvisation (une);[ynɛ̃prɔvizasjɔ̃];Improvisation (eine)
4;16;look (un);[ɛ̃ luk];Look (ein)
4;16;manche (une);[yn(ə) mɑ̃ʃ];Ärmel (ein)
4;16;obligatoire (adj.);[ɔbligatwar];Pflicht
4;16;personnel/le (adj.);[pɛrsɔnɛl / pɛrsɔnɛl];persönlich (adj.)
4;16;poste (un);[ɛ̃ pɔst];Arbeitsstelle (eine)
4;16;public/ique (adj.);[pyblik / pyblik];öffentlich (adj.)
4;16;réception (une);[yn(ə) resɛpsjɔ̃];Empfang (ein)
4;16;règle (une);[yn(ə) rɛgl];Regel (eine)
4;16;responsabilités (des);[de rɛspɔ̃sabilite];Verantwortung (die)
4;16;talon (un);[ɛ̃ talɔ̃];Absatz (ein)
4;16;vestimentaire (adj.);[vɛstimɑ̃tɛr];Kleider-
5;17;accident (un);[ɛ̃naksidɑ̃];Unfall (ein)
5;17;adolescence (l’);[ladɔlesɑ̃s];Jugend (die)
5;17;amputer (v.);[ɑ̃pyte];amputieren
5;17;animateur/trice (un/ une);[ɛ̃nanimatoer / ynanimatris];Moderator/in (ein/eine)
5;17;athlète (un/une);[ɛ̃natlɛt / ynatlɛt];Athlet/in (ein/eine)
5;17;biographie (une);[yn(ə) bjɔgrafi];Biografie (eine)
5;17;bronze (le);[lə brɔ̃z];Bronze (die)
5;17;carrière (une);[yn(ə) karjɛr];Karriere (eine)
5;17;champion/ionne (un/ une);[ɛ̃ ʃɑ̃pjɔ̃ / yn(ə) ʃɑ̃pjɔn];Meister/in (ein/eine)
5;17;chirurgien/ne (un/une);[ɛ̃ ʃiryrʒjɛ̃ / yn(ə) ʃiryrʒjɛn];Chirurg/in (ein/eine)
5;17;compétition (une);[yn(ə) kɔ̃petisjɔ̃];Wettkampf (ein)
5;17;discipline (une);[yn(ə) disiplin];Disziplin (eine)
5;17;équitation (l’);[lekitasjɔ̃];Reiten (das)
5;17;expertise (une);[ynɛkspɛrtiz];Gutachten (ein)
5;17;genou (un);[ɛ̃ ʒ(ə)nu];Knie (ein)
5;17;handicap (un);[ɛ̃ ɑ̃dikap];Behinderung (eine)
5;17;handisport (le);[lə ɑ̃dispɔr];Behindertensport (der)
5;17;haut niveau (le);[lə o nivo];Hochleistungs- (adj.)
5;17;impressionnant/e (adj.);[ɛ̃presjɔnɑ̃ / ɛ̃presjɔnɑ̃t];beeindruckend (adj.)
5;17;jeux olympiques (les);[le ʒøzɔlɛ̃pik];olympische Spiele (pl.)
5;17;jeux paralympiques (les);[le ʒø paralɛ̃pik];paralympische Spiele (pl.)
5;17;médaille (une);[yn(ə) medaj];Medaille (eine)
5;17;or (l’);[lɔr];Gold (das)
5;17;palmarès (un);[ɛ̃ palmarɛs];Siegerliste (eine)
5;17;permettre (v.);[pɛrmɛtr];erlauben / ermöglichen
5;17;pompier/ière (un/une);[ɛ̃ pɔ̃pje / yn(ə) pɔ̃pjɛr];"Feuerwehrmann (ein) / Feuerwehrfrau
(eine)"
5;17;président/e (un/une);[ɛ̃ prezidɑ̃ / yn(ə) prezidɑ̃t];Vorsitzende/r (ein/eine)
5;17;reconversion (une);[yn(ə) rəkɔ̃vɛrsjɔ̃];berufliche Veränderung (eine)
5;17;reprendre goût (v.);[rəprɑ̃drə gu];wieder Freude haben
5;17;retraite (la);[la rətrɛt];Rückzug (der)
5;17;saut (le);[lə so];Sprung (der)
5;17;se fixer (v.);[s(ə) fikse];sich festlegen / sich (ein Ziel) setzen
5;17;tennis (les);[le tenis];Turnschuhe (pl.)
5;17;titre (un);[ɛ̃ titr];Überschrift (eine)
5;17;voile (la);[la vwal];Segeln (das)
5;18;accueil (un);[ɛ̃nakoej];Empfang (ein)
5;18;aérien/ne (adj.);[aerjɛ̃ / aerjɛn];Flug-
5;18;aérodrome (un);[ɛ̃naerɔdrom];Flugplatz (ein)
5;18;alentours (les);[lezalɑ̃tur];Umgebung (die)
5;18;aller-retour (un);[ɛ̃nale r(ə)tur];Hin- und Rückfahrt (eine)
5;18;assiette (une);[ynasjɛt];Teller (ein)
5;18;atterrir (v.);[aterir];landen
5;18;aventure (une);[ynavɑ̃tyr];Abenteuer (ein)
5;18;beauté (la);[la bote];Schönheit (die)
5;18;château (un);[ɛ̃ ʃato];Schloss (ein)
5;18;clin d’oeil (un);[ɛ̃ klɛ̃ doej];Zwinkern (ein)
5;18;couloir (un);[ɛ̃ kulwar];Flur (ein)
5;18;cour (la);[la kur];Hof (der)
5;18;déguster (v.);[degyste];verkosten
5;18;détail (un);[ɛ̃ detaj];Einzelheit (eine)
5;18;entraîner (v.);[ɑ̃trɛne];üben / trainieren / verleiten
5;18;escalier (un);[ɛ̃nɛskalje];Treppe (eine)
5;18;étoile (une);[ynetwal];Stern (ein)
5;18;exception (une);[ynɛksɛpsjɔ̃];Ausnahme (eine)
5;18;gourmand/e (adj.);[gurmɑ̃ / gurmɑ̃d];Feinschmecker- (adj.)
5;18;grand public (le);[lə grɑ̃ pyblik];breite Öffentlichkeit
5;18;hélicoptère (un);[ɛ̃nelikɔptɛr];Hubschrauber (ein)
5;18;inaccessible (adj.);[inaksɛsibl];unzugänglich (adj.)
5;18;inoubliable (adj.);[inubliabl];unvergesslich (adj.)
5;18;majesté (sa);[sa maʒɛste];Majestät (seine)
5;18;mémorable (adj.);[memɔrabl];unvergesslich (adj.)
5;18;minimum;[minimɔm];mindestens
5;18;opportunité (une);[ynɔpɔrtynite];Gelegenheit (eine)
5;18;pilote (un/une);[ɛ̃ pilɔt / yn(ə) pilɔt];Pilot/in (ein/eine)
5;18;point de vue (un);[ɛ̃ pwɛ̃ d(ə) vy];Standpunkt (ein) / Aussicht (eine)
5;18;prendre place (v.);[prɑ̃drə plas];Platz nehmen
5;18;privatisé/e (adj.);[privatize / privatize];privatisiert (adj.)
5;18;privé/e (adj.);[prive / prive];privat (adj.)
5;18;privilégié/e (adj.);[privileʒje / privileʒje];privilegiert (adj.)
5;18;roi (un);[ɛ̃ rwa];König (ein)
5;18;savourer (v.);[savure];genießen
5;18;se dérouler (v.);[s(ə) derule];stattfinden
5;18;sensationnel/le (adj.);[sɑ̃sasjɔnɛl / sɑ̃sasjɔnɛl];sensationell (adj.)
5;18;superbe (adj.);[sypɛrb];herrlich (adj.)
5;18;survoler (v.);[syrvɔle];überfliegen
5;18;unique (adj.);[ynik];einzigartig / einzeln (adj.)
5;18;vue (une);[yn(ə) vy];Blick (ein)
5;19;activité (une);[ynaktivite];Aktivität (eine)
5;19;agité/e (adj.);[aʒite / aʒite];unruhig (adj.)
5;19;annoncer (v.);[anɔ̃se];ankündigen / inserieren
5;19;après;[aprɛ];nach
5;19;assister à (v.);[asiste a];teilnehmen an
5;19;avoir envie (v.);[avwarɑ̃vi];Lust haben
5;19;décider (v.);[deside];entscheiden
5;19;déménagement (un);[ɛ̃ demenaʒ(ə)mɑ̃];Umzug (ein)
5;19;départ (un);[ɛ̃ depar];Abreise (eine) / Wegzug (ein)
5;19;ennuyer (v.);[ɑ̃nɥije];langweilen
5;19;ensuite;[ɑ̃sɥit];dann
5;19;fréquent/e (adj.);[frekɑ̃ / frekɑ̃t];häufig (adj.)
5;19;frustration (la);[la frystrasjɔ̃];Frust (der)
5;19;insatisfaction (l’);[lɛ̃satisfaksjɔ̃];Unzufriedenheit (die)
5;19;instructeur/trice (un/ une);[ɛ̃nɛ̃stryktoer / ynɛ̃stryktris];Ausbilder/in (ein/eine)
5;19;journal télévisé (le);[lə ʒurnal televize];Fernsehnachrichten (pl.)
5;19;majorité (la);[la maʒɔrite];Mehrheit (die)
5;19;malade (adj.);[malad];krank (adj.)
5;19;méditation (la);[la meditasjɔ̃];Meditation (die)
5;19;mode de vie (un);[ɛ̃ mɔd də vi];Lebensstil (ein)
5;19;obtenir (v.);[ɔptənir];erhalten
5;19;ouvrir (v.);[uvrir];öffnen
5;19;poursuivre (v.);[pursɥivr];fortsetzen
5;19;pratique (la);[la pratik];Praxis (die)
5;19;présentateur/trice (un/ une);[ɛ̃ prezɑ̃tatoer / yn(ə) prezɑ̃tatris];Moderator/in (ein/eine)
5;19;présenter (v.);[prezɑ̃te];vorstellen
5;19;presse (la);[la prɛs];Presse (die)
5;19;puis;[pɥi];dann
5;19;quotidien (le);[lə kɔtidjɛ̃];Alltag (der)
5;19;répétitif/ive (adj.);[repetitif / repetitiv];monoton (adj.)
5;19;résultat (un);[ɛ̃ rezylta];Ergebnis (ein)
5;19;s’ennuyer (v.);[sɑ̃nɥije];sich langweilen
5;19;se former (v.);[s(ə) fɔrme];sich weiterbilden
5;19;sensation (une);[yn(ə) sɑ̃sasjɔ̃];Sinneseindruck (ein)
5;19;stage (un);[ɛ̃ staʒ];Praktikum (ein)
5;19;suffire (v.);[syfir];genügen
5;19;supporter (v.);[sypɔrte];ertragen
5;19;symbole (un);[ɛ̃ sɛ̃bɔl];Symbol (ein)
